,from_EUR_to_X,from_USD_to_X
USD,1.1555,1.0
JPY,183.15,158.50281263522285
CZK,24.399,21.115534400692344
DKK,7.4708,6.465426222414539
GBP,0.8653,0.7488533102553007
HUF,396.38,343.03764604067504
PLN,4.2785,3.702726092600606
RON,5.0979,4.4118563392470795
SEK,10.6945,9.25530073561229
CHF,0.9008,0.7795759411510169
ISK,145.1,125.57334487234964
NOK,11.1545,9.653396797922978
TRY,50.9394,44.08429251406318
AUD,1.6465,1.4249242752055389
BRL,6.0435,5.230203375162268
CAD,1.568,1.3569883167459975
CNY,7.9929,6.91726525313717
HKD,9.0311,7.815750757247945
IDR,19575.56,16941.20294244916
ILS,3.5948,3.111034184335786
INR,106.65,92.29770662051061
KRW,1716.06,1485.123323236694
MXN,20.6231,17.847771527477285
MYR,4.5792,3.962959757680658
NZD,1.9563,1.693033318909563
PHP,68.779,59.523150151449585
SGD,1.4792,1.2801384681955865
THB,37.057,32.07009952401558
ZAR,19.27,16.67676330592817
EGP,18.0474,15.618693206404155
MAD,10.7465,9.300302899177845
TWD,33.6047,29.082388576373866
ARS,67.2692,58.216529640848115
SAR,4.34387704,3.75930509736045
VND,30389.47,26299.844223279968
PEN,4.04006437,3.4963776460406746
NGN,1618.1947,1400.4281263522284
COP,4343.6663,3759.1227174383384
AED,4.25410358,3.681612790999567
KES,149.7491658,129.5968548680225
EUR,1.0,0.8654262224145391
PKR,325.39553215,281.60582617914326
CLP,1060.5701,917.8451752488099
